espece,periode,1-06-2017,2-06-2017,3-06-2017,4-06-2017,5-06-2017,6-06-2017,7-06-2017,8-06-2017,9-06-2017,10-06-2017,11-06-2017,12-06-2017,13-06-2017,14-06-2017,15-06-2017,16-06-2017,17-06-2017,18-06-2017,19-06-2017,20-06-2017,21-06-2017,22-06-2017,23-06-2017,24-06-2017,25-06-2017,26-06-2017,27-06-2017,28-06-2017,29-06-2017,30-06-2017
Balaenoptera borealis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Balaenoptera borealis,am,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Delphinus delphis,am,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Delphinus delphis,pm,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Globicephala macrorhynchus,pm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0
Globicephala macrorhynchus,am,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Grampus griseus,pm,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1
Grampus griseus,am,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
Physeter macrocephalus,pm,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1
Physeter macrocephalus,am,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
Stenella coeruleoalba,pm,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
Stenella coeruleoalba,am,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0
Stenella frontalis,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1
Stenella frontalis,am,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1
Tursiops truncatus,pm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1
Tursiops truncatus,am,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0
bateau,pm,3,3,2,1,4,3,3,2,0,3,3,3,3,3,3,3,2,3,1,3,3,3,3,2,2,1,3,2,3,3
bateau,am,3,3,2,2,3,3,2,3,0,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3
